"#",Lens ID,Title,Abstract,Inventors
1,178-231-622-103-543,sistema in situ para o tratamento térmico aeróbico de resíduos orgãnicos biodegradáveis,,ZAVALA MIGUEL ANGEL LOPEZ
2,091-857-183-836-357,"LUBRICATING OIL FOR AUTOMOTIVE AND INDUSTRIAL APPLICATIONS, CONTAINING DECORATED GRAPHENE","This patent relates to a lubricating oil with added decorated graphene nanoparticles, which is called nanolubricant. This nanolubricant has automotive and industrial applications and offers as major benefits, simultaneous improvements in the thermal, rheological and tribological properties of the lubricant used as base fluid. Additionally, this nanolubricant offers a rheopectic behavior from a specific concentration, the same behavior that gives it the ability to increase its viscosity over time provided it is subjected to a constant cutting rate. Finally, the decorated graphene may include metallic, ceramic or polymeric nanoparticles, in a concentration range of 0.5% weight/weight to 2% w/w without changing the newtonian fluid behavior of the base lubricant, whereas for concentrations greater than 2% weight/weight and up to 3% weight/weight, the aforementioned rheopectic behavior will be observed.",RAMON RAYGOZA EDGAR DAVID;;RIVERA SOLORIO CARLOS IVAN;;GIMENEZ TORRES ENRIQUE
3,091-236-709-863-834,"Method and Apparatus for the Multi-Layer and Multi-Component Coating of Thin Films on Substrates, and Multi-Layer and Multi-Component Coatings","The present invention pertains to a process for depositing multi-component and nanostructured thin films. Various parameters are monitored during the process to produce the structure of the thin films, on one hand the residence time of the gas mixture in the reactor is controlled by the pumping rate, on the other side to generate the plasma direct current (DC) or radio frequency (RF) sources are used, plus the combination of three unbalanced magnetrons allows alternative emission of elements that make up the multi-component and nanostructured films. The process is monitored by an optical emission spectrometer (EOE) and a Langmuir probe (SL), the EOE can follow the emission corresponding to the electronic transitions of atoms and molecules in the plasma. Emissions occur in the visible, infrared and ultraviolet domains. The relationships between spectral networks of different elements have been identified that ensure structural characteristics of thin films. Through SL, operating conditions have been identified by measuring the electron temperature and measuring the density of electrons. It was decided in the prototype to make this measurement at significantly important points in the process.",OSEGUERA PEÑA JOAQUÍN;;ROJO VALERIO ALEJANDRO;;ACOSTA FLORES JORGE ALBERTO;;SALAS MARTINEZ OLIMPIA;;MELO MAXIMO DULCE VIRIDIANA;;ALVAREZ DIAZ JORGE
4,028-885-594-213-369,CANCER CELL GROWTH INHIBITION BY BLACK BEAN (PHASEOLUS VULGARIS L) EXTRACTS,"A group of phytochemical compounds extracted from whole germinated or not germinated black beans (Phaseolus vulgaris L) and/or their dry milled fractions such as seed coats or hulls and cotyledons is described. These phytochemicals are classified as phenolics, such as polyphenols, flavonoids, coumarins, and tannins, triterpenes such as saponins, phytosterols and other antioxidant compounds that proved to be effective to decrease cancer proliferation of hormone dependent mammary (MCF-7), hormone independent hepatic (HepG2) and colon (Caco2) cancer cells. They also effectively protect against chemical damage induced with DMBA and furthermore prevented cancer induced by this chemical in Wistar rats and also reduced tumor size when consumed after tumor detection. Methanol, acetone, ethanol, water and mixtures of these solvents were used to obtain the extracts from raw, cooked, and germinated black beans of different varieties, both from the whole grain and the hulls. The black bean malting process produced extracts rich in aglycone forms of the previous mentioned compounds that were more biologically active against MCF-7 cancer cell proliferation. Both raw extracts, C-18 HPLC refined extracts and fractionated extracts may be used in the treatment, prophylaxis, amelioration or defense against a variety of hormone dependent and independent cancers. The extracts and compounds have additional utilities, e.g., lower cholesterol or lower oxidation of LDL and/or inhibit cholesterol synthesis (or the enzyme therefor) and/or reduce liver fibrosis and/or reduce symptoms of menopause and/or stimulate calcium absorption and/or have estrogenic activity such as feminizing estrogenic activity and/or are antioxidants, for instance, as an active ingredient in a nutritional supplement and/or as a food, cosmetic or pharmaceutical antioxidants or colorants.",GUTIERREZ-URIBE JANET;;SERNA-SALDIVAR SERGIO;;MORENO-CUEVAS JORGE;;HERNANDEZ-BRENES CARMEN;;GUAJARDO-TOUCHE ELSA
5,150-224-129-009-375,"Optoelectronic device for the detection of uterine cervical cancer, comprising a self-positioning attachment","The present invention relates to a portable device which analyzes cervical tissue using two simultaneous measurements, namely an electrical measurement and an optical measurement. The aforementioned device examines different areas of cervical tissue, taking electrical measurements from same in different frequency ranges and optical measurements in three different wavelengths. Once the measurements have been obtained, they are processed by a configurable device or microcontroller in accordance with mathematical formulae obtained from multiple measurements taken from healthy and cancerous tissues. Three possible responses can be obtained from the processing of the measurements: healthy tissue, cancerous tissue or the presence of human papilloma virus. The inventive device can be used as a self-detection device since it is equipped with an attachment for positioning same upon detection of proximity to the cervix in order to take a correct measurement. The aforementioned attachment also comprises an accessory which can be used to perform the alternative method in which a cell sample is taken and sent for laboratory analysis in order to obtain an immediate response, which can be used by the user or by another person. The purpose of the invention is to provide a minimally-invasive diagnostic device for Papanicolaou testing and to offer an alternative method to the examination that requires the taking of a cell sample.",ROVIRA NOEL LEON;;FUENTES ARTURO HERNANDEZ;;ESCORZA JOSE ANTONIO VIORNERY;;SAMANIEGO NORMA FRIDA ROFFE
6,172-137-731-239-299,MODIFIED POLYMERS WITH TUBULAR CLAY MINERAL FOR FOOD PACKAGING MATERIALS.,"The present invention relates to nanocomposite materials based on a polymer matrix and a tubular clay mineral compound, which comprise mechanical, thermal, rheological, gas barrier properties and the like; said modified polymers being in compliance with the pharmaceutical, biomedical and/or food norms in force. The modified polymers of the invention also include a high thermal resistance, improved rheological properties and a high oxygen transfer resistance. The invention further relates to a two-step method for the production of the aforementioned materials and the use thereof for applications such as packaging of particular food products, and for applications in other fields.",RIOS JAIME BONILLA;;FERNANDEZ JOSE ANTONIO SANCHEZ;;BARRON ALEJANDRA JULIETA MONSIVAIS
7,153-676-052-044-282,DEVICE FOR ASSESSING THE RESISTANCE OF LAMINATE MATERIALS AGAINST THE ATTACK OF WAREHOUSE INSECTS.,"The present invention provides a device for assessing the resistance of laminate materials against the attack of warehouse insects-plagues, said device is operated under controlled conditions so that obtaining a highly sensitive and accurate response. This device is particularly formed by a container for storing, under a controlled atmospheric pressure, humidity and gas concentration, a predetermined amount of cereal grains and plague insects of cereal grains; a mechanism for controlling the pressure is communicated with the container for creating and maintaining a pressure differential within said container, the differential being measured between the pressure inside and outside the container; a mechanism for controlling the gases is located inside the container for maintaining a predetermined concentration of gases, an assessing unit being coupled to the end portion of the controller, and consisting in a first and second metal ring where at least a laminate sample is located between said rings; the remaining end portion of the unit is connected to: a reservoir base for supporting the container and the ring with at least a laminated sample brought into contact with the cereal grains of the container, and temporarily confining the plague insects that penetrate the laminated sample for being counted.",LARA SILVERIO GARCIA;;ISLAS SOFIA ORTIZ
8,093-133-308-474-855,MEAT PRODUCTS OF THE HAMBURGER TYPE.,"The present invention refers to a meat product intended to be used as a human food, more particularly to a meat product of the hamburger type, which has a high content of protein and fibre, a low content of fat and ready to be heated and consumed. The inventive product is different from the rest of the products since it is a source rich in proteins and fibres, and has a better performance after being cooked. The protein source consists in a determined amount of beef meat, ground or in chunks, and a vegetable mixture in chunks, as well as added nutrients, which provide a nutrient profile similar to a balanced food. The addition of preservatives provides a product of good organoleptic characteristics and avoids rancidness for a considerable storing and consumption time. The invention promotes the tendency of fighting against health problems upon being an advance in the formulation of healthy food that is intended for the consumption of the public in general. The invention invites the m eat industry to produce more nutritive food, which are microbiologically safe and of good sensorial quality.",CLERKE EUNICE ARLETTE VINIEGRA;;HERRERA HUGO ARIOSTO HERNANDEZ;;GAMEZ JOSE GAITAN;;VILLEGAS OLGA PATRICIA VÁZQUEZ
9,054-095-155-393-229,PROCESS FOR THE PRODUCTION OF HIGH PERFORMANCE ETHANOL FROM STEAM FLAKING CEREAL GRAINS.,"The process of the present invention is performed with grains of cereals like maize, sorghum or any starchy cereal or a mixture thereof for producing high performance ethanol, the process comprising the following steps: steam flaking cereal grains, dry-milling the flakes, liquefying the flour with a, preferably thermal-resistant, alpha amylase for obtaining a dextrins suspension, which is subsequently saccharified, with an enzymatic mixture for obtaining a concentrated sweet wort, which is conditioned to be Saccharomyces cerevisiae fermented, the fermentation resulting in ethanol dispersed into an aqueous solution, which is distilled and dehydrated to be used as fuel.",SALDIVAR SERGIO ROMAN OTHON SERNA;;CARRILLO ESTHER PEREZ;;HERNANDEZ CRISTINA ELIZABETH CHUCK
10,139-103-288-508-658,GUIDE SYSTEM FOR VISUALLY IMPAIRED THROUGH ANTHROPOMETRIC INERTIAL NAVIGATION AND CONTROL INTERFACE BY VESTIBULAR GALVANIC STIMULATION.,"The present invention pertains to the field of technological design, specifically the design of an electronic device for a biomedical engineering application. The invention consists in a design of an electronic device based on a microcontroller able to guide visually impaired through spaces previously programmed in virtual maps (1). The device uses an Anthropometric Inertial Navigation System which obtains the current position of the user and determines the movement direction according to a previously established path, this system being combined with a control system actuated by Vestibular Galvanic Stimulation which promotes the movement in the preset direction by means of electric impulses of low intensity applied over the vestibular region. The designed device may be used by people with visual disabilities in unfamiliar environments such as offices, schools, malls, amongst others.",MARTÍNEZ LUIS RUBEN SOENKSEN;;REINHARD MANUEL CANTÚ;;CAEIROS ALFREDO VICTOR MANTILLA
11,186-612-032-178-421,COOLING SYSTEM BY EVAPORATION.,"The thermal and cooling insulation system by passive evaporation is intended to reduce the inner temperature of a volume, compared to the temperature of the exterior. The system consists in: a preferably rigid inner conduit of prismatic form, formed by a plastic or metallic material, or a combination of both; a layer of insulating material, in the form of a porous mixture of organic or inorganic compounds and phase-change materials; a preferably rigid outer conduit of prismatic form and with circular-shaped perforations, which is formed by a plastic or metallic material, or a combination of both; filter layers formed by synthetic membranes of low circular permeability; sealing structures having a prismatic shape formed by a plastic or metallic material, or a combination of both. The outer container may transfer the heat of the surrounding environment to the insulator, which has a liquid that absorbs said heat and changes the phase reducing the temperature of the inner container. The c ontent of the inner container may be a static or dynamic volume.",SALDIVAR ROBERTO PARRA;;FOLGUERAS JOSE RODRIGO SALMON;;SORIANO PAMELA DEL CARMEN DURAN;;SANCHEZ MIGUEL ANGEL DE JESUS FLORES
